c_birth,sex,geo,TIME_PERIOD,OBS_VALUE
Foreign country,Females,Türkiye,2024,53.3
Foreign country,Males,Austria,2022,49.1
Foreign country,Males,Austria,2024,49.0
Foreign country,Males,Belgium,2022,49.2
Foreign country,Males,Belgium,2024,49.2
Foreign country,Males,Bulgaria,2022,50.6
Foreign country,Males,Bulgaria,2024,51.3
Foreign country,Males,Switzerland,2022,49.1
Foreign country,Males,Switzerland,2024,49.1
Foreign country,Males,Cyprus,2022,44.3
Foreign country,Males,Cyprus,2024,47.5
Foreign country,Males,Czechia,2022,55.8
Foreign country,Males,Czechia,2024,48.1
Foreign country,Males,Germany,2022,49.6
Foreign country,Males,Germany,2024,49.7
Foreign country,Males,Denmark,2022,49.4
Foreign country,Males,Denmark,2024,49.1
Foreign country,Males,Estonia,2022,44.8
Foreign country,Males,Estonia,2024,44.4
Foreign country,Males,Greece,2022,48.0
Foreign country,Males,Greece,2023,47.8
Foreign country,Males,Greece,2024,48.0
Foreign country,Males,Spain,2022,47.8
Foreign country,Males,Spain,2024,48.4
Foreign country,Males,Finland,2022,51.9
Foreign country,Males,Finland,2023,52.1
Foreign country,Males,Finland,2024,51.9
Foreign country,Males,France,2021,48.2
Foreign country,Males,France,2022,48.3
Foreign country,Males,France,2024,48.2
Foreign country,Males,Croatia,2022,46.2
Foreign country,Males,Croatia,2024,48.7
Foreign country,Males,Hungary,2022,51.2
Foreign country,Males,Hungary,2024,51.6
Foreign country,Males,Ireland,2022,49.7
Foreign country,Males,Ireland,2024,49.1
Foreign country,Males,Iceland,2022,53.8
Foreign country,Males,Iceland,2024,53.4
Foreign country,Males,Italy,2022,46.9
Foreign country,Males,Italy,2024,47.5
Foreign country,Males,Liechtenstein,2022,48.9
Foreign country,Males,Liechtenstein,2024,49.0
Foreign country,Males,Lithuania,2022,47.0
Foreign country,Males,Luxembourg,2022,50.9
Foreign country,Males,Luxembourg,2024,50.7
Foreign country,Males,Latvia,2022,40.8
Foreign country,Males,Latvia,2024,41.3
Foreign country,Males,Malta,2022,58.5
Foreign country,Males,Malta,2024,59.9
Foreign country,Males,Netherlands,2022,48.3
Foreign country,Males,Netherlands,2024,48.3
Foreign country,Males,Norway,2022,51.6
Foreign country,Males,Norway,2023,51.0
Foreign country,Males,Norway,2024,50.9
Foreign country,Males,Poland,2022,47.6
Foreign country,Males,Poland,2023,47.5
Foreign country,Males,Poland,2024,47.4
Foreign country,Males,Portugal,2022,48.5
Foreign country,Males,Portugal,2023,49.2
Foreign country,Males,Portugal,2024,50.5
Foreign country,Males,Romania,2022,51.6
Foreign country,Males,Romania,2024,55.4
Foreign country,Males,Sweden,2022,50.3
Foreign country,Males,Sweden,2024,50.3
Foreign country,Males,Slovenia,2022,57.9
Foreign country,Males,Slovenia,2024,57.8
Foreign country,Males,Slovakia,2022,49.4
Foreign country,Males,Slovakia,2024,49.6
Foreign country,Males,Türkiye,2024,46.7
Foreign country,Total,Austria,2022,100.0
Foreign country,Total,Austria,2024,100.0
Foreign country,Total,Belgium,2022,100.0
Foreign country,Total,Belgium,2024,100.0
Foreign country,Total,Bulgaria,2022,100.0
Foreign country,Total,Bulgaria,2024,100.0
Foreign country,Total,Switzerland,2022,100.0
Foreign country,Total,Switzerland,2024,100.0
Foreign country,Total,Cyprus,2022,100.0
Foreign country,Total,Cyprus,2024,100.0
Foreign country,Total,Czechia,2022,100.0
Foreign country,Total,Czechia,2024,100.0
Foreign country,Total,Germany,2022,100.0
Foreign country,Total,Germany,2024,100.0
Foreign country,Total,Denmark,2022,100.0
Foreign country,Total,Denmark,2024,100.0
Foreign country,Total,Estonia,2022,100.0
Foreign country,Total,Estonia,2024,100.0
Foreign country,Total,Greece,2022,100.0
Foreign country,Total,Greece,2023,100.0
Foreign country,Total,Greece,2024,100.0
Foreign country,Total,Spain,2022,100.0
Foreign country,Total,Spain,2024,100.0
Foreign country,Total,Finland,2022,100.0
Foreign country,Total,Finland,2023,100.0
Foreign country,Total,Finland,2024,100.0
Foreign country,Total,France,2021,100.0
Foreign country,Total,France,2022,100.0
Foreign country,Total,France,2024,100.0
Foreign country,Total,Croatia,2022,100.0
Foreign country,Total,Croatia,2024,100.0
Foreign country,Total,Hungary,2022,100.0
Foreign country,Total,Hungary,2024,100.0
Foreign country,Total,Ireland,2022,100.0
Foreign country,Total,Ireland,2024,100.0
Foreign country,Total,Iceland,2022,100.0
Foreign country,Total,Iceland,2024,100.0
Foreign country,Total,Italy,2022,100.0
Foreign country,Total,Italy,2024,100.0
Foreign country,Total,Liechtenstein,2022,100.0
Foreign country,Total,Liechtenstein,2024,100.0
Foreign country,Total,Lithuania,2022,100.0
Foreign country,Total,Luxembourg,2022,100.0
Foreign country,Total,Luxembourg,2024,100.0
Foreign country,Total,Latvia,2022,100.0
Foreign country,Total,Latvia,2024,100.0
Foreign country,Total,Malta,2022,100.0
Foreign country,Total,Malta,2024,100.0
Foreign country,Total,Netherlands,2022,100.0
Foreign country,Total,Netherlands,2024,100.0
Foreign country,Total,Norway,2022,100.0
Foreign country,Total,Norway,2023,100.0
Foreign country,Total,Norway,2024,100.0
Foreign country,Total,Poland,2022,100.0
Foreign country,Total,Poland,2023,100.0
Foreign country,Total,Poland,2024,100.0
Foreign country,Total,Portugal,2022,100.0
Foreign country,Total,Portugal,2023,100.0
Foreign country,Total,Portugal,2024,100.0
Foreign country,Total,Romania,2022,100.0
Foreign country,Total,Romania,2024,100.0
Foreign country,Total,Sweden,2022,100.0
Foreign country,Total,Sweden,2024,100.0
Foreign country,Total,Slovenia,2022,100.0
Foreign country,Total,Slovenia,2024,100.0
Foreign country,Total,Slovakia,2022,100.0
Foreign country,Total,Slovakia,2024,100.0
Foreign country,Total,Türkiye,2024,100.0
Reporting country,Females,Austria,2022,50.7
Reporting country,Females,Austria,2024,50.6
Reporting country,Females,Belgium,2022,50.6
Reporting country,Females,Belgium,2024,50.6
Reporting country,Females,Bulgaria,2022,51.7
Reporting country,Females,Bulgaria,2024,52.1
Reporting country,Females,Switzerland,2022,50.1
Reporting country,Females,Switzerland,2024,50.1
Reporting country,Females,Cyprus,2022,49.9
Reporting country,Females,Cyprus,2024,50.1
Reporting country,Females,Czechia,2022,51.0
Reporting country,Females,Czechia,2024,50.9
Reporting country,Females,Germany,2022,50.7
Reporting country,Females,Germany,2024,50.8
Reporting country,Females,Denmark,2022,50.2
Reporting country,Females,Denmark,2024,50.2
Reporting country,Females,Estonia,2022,52.0
Reporting country,Females,Estonia,2024,51.9
Reporting country,Females,Greece,2022,51.0
Reporting country,Females,Greece,2023,51.0
Reporting country,Females,Greece,2024,50.9
Reporting country,Females,Spain,2022,50.8
Reporting country,Females,Spain,2024,50.9
Reporting country,Females,Finland,2022,50.8
Reporting country,Females,Finland,2023,50.8
Reporting country,Females,Finland,2024,50.7
Reporting country,Females,France,2021,51.6
Reporting country,Females,France,2022,51.6
Reporting country,Females,France,2024,51.5
Reporting country,Females,Croatia,2022,51.5
Reporting country,Females,Croatia,2024,51.5
Reporting country,Females,Hungary,2022,52.3
Reporting country,Females,Hungary,2024,52.0
Reporting country,Females,Ireland,2022,50.6
Reporting country,Females,Ireland,2024,50.5
Reporting country,Females,Iceland,2022,49.3
Reporting country,Females,Iceland,2024,49.3
Reporting country,Females,Italy,2022,51.0
Reporting country,Females,Italy,2024,50.9
Reporting country,Females,Liechtenstein,2022,48.9
Reporting country,Females,Liechtenstein,2024,48.8
Reporting country,Females,Lithuania,2022,53.5
Reporting country,Females,Luxembourg,2022,50.2
Reporting country,Females,Luxembourg,2024,50.1
Reporting country,Females,Latvia,2022,52.9
Reporting country,Females,Latvia,2024,52.8
Reporting country,Females,Malta,2022,50.2
Reporting country,Females,Malta,2024,50.0
Reporting country,Females,Netherlands,2022,50.0
Reporting country,Females,Netherlands,2024,50.0
Reporting country,Females,Norway,2022,49.8
Reporting country,Females,Norway,2023,49.8
Reporting country,Females,Norway,2024,49.7
Reporting country,Females,Poland,2022,51.6
Reporting country,Females,Poland,2023,51.6
Reporting country,Females,Poland,2024,51.6
Reporting country,Females,Portugal,2022,52.6
Reporting country,Females,Portugal,2023,52.6
Reporting country,Females,Portugal,2024,52.7
Reporting country,Females,Romania,2022,51.5
Reporting country,Females,Romania,2024,51.6
Reporting country,Females,Sweden,2022,49.7
Reporting country,Females,Sweden,2024,49.6
Reporting country,Females,Slovenia,2022,51.1
Reporting country,Females,Slovenia,2024,51.0
Reporting country,Females,Slovakia,2022,51.1
Reporting country,Females,Slovakia,2024,51.1
Reporting country,Females,Türkiye,2024,49.8
Reporting country,Males,Austria,2022,49.3
Reporting country,Males,Austria,2024,49.4
Reporting country,Males,Belgium,2022,49.4
Reporting country,Males,Belgium,2024,49.4
Reporting country,Males,Bulgaria,2022,48.3
Reporting country,Males,Bulgaria,2024,47.9
Reporting country,Males,Switzerland,2022,49.9
Reporting country,Males,Switzerland,2024,49.9
Reporting country,Males,Cyprus,2022,50.1
Reporting country,Males,Cyprus,2024,49.9
Reporting country,Males,Czechia,2022,49.0
Reporting country,Males,Czechia,2024,49.1
Reporting country,Males,Germany,2022,49.3
Reporting country,Males,Germany,2024,49.2
Reporting country,Males,Denmark,2022,49.8
Reporting country,Males,Denmark,2024,49.8
Reporting country,Males,Estonia,2022,48.0
Reporting country,Males,Estonia,2024,48.1
Reporting country,Males,Greece,2022,49.0
Reporting country,Males,Greece,2023,49.0
Reporting country,Males,Greece,2024,49.1
Reporting country,Males,Spain,2022,49.2
Reporting country,Males,Spain,2024,49.1
Reporting country,Males,Finland,2022,49.2
Reporting country,Males,Finland,2023,49.2
Reporting country,Males,Finland,2024,49.3
Reporting country,Males,France,2021,48.4
Reporting country,Males,France,2022,48.4
Reporting country,Males,France,2024,48.5
Reporting country,Males,Croatia,2022,48.5
Reporting country,Males,Croatia,2024,48.5
Reporting country,Males,Hungary,2022,47.7
Reporting country,Males,Hungary,2024,48.0
Reporting country,Males,Ireland,2022,49.4
Reporting country,Males,Ireland,2024,49.5
Reporting country,Males,Iceland,2022,50.7
Reporting country,Males,Iceland,2024,50.7
Reporting country,Males,Italy,2022,49.0
Reporting country,Males,Italy,2024,49.1
Reporting country,Males,Liechtenstein,2022,51.1
Reporting country,Males,Liechtenstein,2024,51.2
Reporting country,Males,Lithuania,2022,46.5
Reporting country,Males,Luxembourg,2022,49.8
Reporting country,Males,Luxembourg,2024,49.9
Reporting country,Males,Latvia,2022,47.1
Reporting country,Males,Latvia,2024,47.2
Reporting country,Males,Malta,2022,49.8
Reporting country,Males,Malta,2024,50.0
Reporting country,Males,Netherlands,2022,50.0
Reporting country,Males,Netherlands,2024,50.0
Reporting country,Males,Norway,2022,50.2
Reporting country,Males,Norway,2023,50.2
Reporting country,Males,Norway,2024,50.3
Reporting country,Males,Poland,2022,48.4
Reporting country,Males,Poland,2023,48.4
Reporting country,Males,Poland,2024,48.4
Reporting country,Males,Portugal,2022,47.4
Reporting country,Males,Portugal,2023,47.4
Reporting country,Males,Portugal,2024,47.3
Reporting country,Males,Romania,2022,48.5
Reporting country,Males,Romania,2024,48.4
Reporting country,Males,Sweden,2022,50.3
Reporting country,Males,Sweden,2024,50.4
Reporting country,Males,Slovenia,2022,48.9
Reporting country,Males,Slovenia,2024,49.0
Reporting country,Males,Slovakia,2022,48.9
Reporting country,Males,Slovakia,2024,48.9
Reporting country,Males,Türkiye,2024,50.2
Reporting country,Total,Austria,2022,100.0
Reporting country,Total,Austria,2024,100.0
Reporting country,Total,Belgium,2022,100.0
Reporting country,Total,Belgium,2024,100.0
Reporting country,Total,Bulgaria,2022,100.0
Reporting country,Total,Bulgaria,2024,100.0
Reporting country,Total,Switzerland,2022,100.0
Reporting country,Total,Switzerland,2024,100.0
Reporting country,Total,Cyprus,2022,100.0
Reporting country,Total,Cyprus,2024,100.0
Reporting country,Total,Czechia,2022,100.0
Reporting country,Total,Czechia,2024,100.0
Reporting country,Total,Germany,2022,100.0
Reporting country,Total,Germany,2024,100.0
Reporting country,Total,Denmark,2022,100.0
Reporting country,Total,Denmark,2024,100.0
Reporting country,Total,Estonia,2022,100.0
Reporting country,Total,Estonia,2024,100.0
Reporting country,Total,Greece,2022,100.0
Reporting country,Total,Greece,2023,100.0
Reporting country,Total,Greece,2024,100.0
Reporting country,Total,Spain,2022,100.0
Reporting country,Total,Spain,2024,100.0
Reporting country,Total,Finland,2022,100.0
Reporting country,Total,Finland,2023,100.0
Reporting country,Total,Finland,2024,100.0
Reporting country,Total,France,2021,100.0
Reporting country,Total,France,2022,100.0
Reporting country,Total,France,2024,100.0
Reporting country,Total,Croatia,2022,100.0
Reporting country,Total,Croatia,2024,100.0
Reporting country,Total,Hungary,2022,100.0
Reporting country,Total,Hungary,2024,100.0
Reporting country,Total,Ireland,2022,100.0
Reporting country,Total,Ireland,2024,100.0
Reporting country,Total,Iceland,2022,100.0
Reporting country,Total,Iceland,2024,100.0
Reporting country,Total,Italy,2022,100.0
Reporting country,Total,Italy,2024,100.0
Reporting country,Total,Liechtenstein,2022,100.0
Reporting country,Total,Liechtenstein,2024,100.0
Reporting country,Total,Lithuania,2022,100.0
Reporting country,Total,Luxembourg,2022,100.0
Reporting country,Total,Luxembourg,2024,100.0
Reporting country,Total,Latvia,2022,100.0
Reporting country,Total,Latvia,2024,100.0
Reporting country,Total,Malta,2022,100.0
Reporting country,Total,Malta,2024,100.0
Reporting country,Total,Netherlands,2022,100.0
Reporting country,Total,Netherlands,2024,100.0
Reporting country,Total,Norway,2022,100.0
Reporting country,Total,Norway,2023,100.0
Reporting country,Total,Norway,2024,100.0
Reporting country,Total,Poland,2022,100.0
Reporting country,Total,Poland,2023,100.0
Reporting country,Total,Poland,2024,100.0
Reporting country,Total,Portugal,2022,100.0
Reporting country,Total,Portugal,2023,100.0
Reporting country,Total,Portugal,2024,100.0
Reporting country,Total,Romania,2022,100.0
Reporting country,Total,Romania,2024,100.0
Reporting country,Total,Sweden,2022,100.0
Reporting country,Total,Sweden,2024,100.0
Reporting country,Total,Slovenia,2022,100.0
Reporting country,Total,Slovenia,2024,100.0
Reporting country,Total,Slovakia,2022,100.0
Reporting country,Total,Slovakia,2024,100.0
Reporting country,Total,Türkiye,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Females,Austria,2022,49.2
Non-EU27 countries (from 2020) nor reporting country,Females,Austria,2024,49.8
Non-EU27 countries (from 2020) nor reporting country,Females,Belgium,2022,50.2
Non-EU27 countries (from 2020) nor reporting country,Females,Belgium,2024,50.2
Non-EU27 countries (from 2020) nor reporting country,Females,Bulgaria,2022,50.5
Non-EU27 countries (from 2020) nor reporting country,Females,Bulgaria,2024,50.2
Non-EU27 countries (from 2020) nor reporting country,Females,Switzerland,2022,52.8
Non-EU27 countries (from 2020) nor reporting country,Females,Switzerland,2024,53.0
Non-EU27 countries (from 2020) nor reporting country,Females,Cyprus,2022,57.1
Non-EU27 countries (from 2020) nor reporting country,Females,Cyprus,2024,53.8
Non-EU27 countries (from 2020) nor reporting country,Females,Czechia,2022,43.7
Non-EU27 countries (from 2020) nor reporting country,Females,Czechia,2024,52.2
Non-EU27 countries (from 2020) nor reporting country,Females,Germany,2022,49.4
Non-EU27 countries (from 2020) nor reporting country,Females,Germany,2024,49.4
Non-EU27 countries (from 2020) nor reporting country,Females,Denmark,2022,51.9
Non-EU27 countries (from 2020) nor reporting country,Females,Denmark,2024,52.4
Non-EU27 countries (from 2020) nor reporting country,Females,Estonia,2022,57.0
Non-EU27 countries (from 2020) nor reporting country,Females,Estonia,2024,57.3
Non-EU27 countries (from 2020) nor reporting country,Females,Greece,2022,49.7
Non-EU27 countries (from 2020) nor reporting country,Females,Greece,2023,50.0
Non-EU27 countries (from 2020) nor reporting country,Females,Greece,2024,49.7
Non-EU27 countries (from 2020) nor reporting country,Females,Spain,2022,52.7
Non-EU27 countries (from 2020) nor reporting country,Females,Spain,2024,51.7
Non-EU27 countries (from 2020) nor reporting country,Females,Finland,2022,49.1
Non-EU27 countries (from 2020) nor reporting country,Females,Finland,2023,48.7
Non-EU27 countries (from 2020) nor reporting country,Females,Finland,2024,49.0
Non-EU27 countries (from 2020) nor reporting country,Females,France,2021,51.5
Non-EU27 countries (from 2020) nor reporting country,Females,France,2022,51.3
Non-EU27 countries (from 2020) nor reporting country,Females,France,2024,51.4
Non-EU27 countries (from 2020) nor reporting country,Females,Croatia,2022,53.7
Non-EU27 countries (from 2020) nor reporting country,Females,Croatia,2024,50.9
Non-EU27 countries (from 2020) nor reporting country,Females,Hungary,2022,45.9
Non-EU27 countries (from 2020) nor reporting country,Females,Hungary,2024,45.7
Non-EU27 countries (from 2020) nor reporting country,Females,Ireland,2022,50.0
Non-EU27 countries (from 2020) nor reporting country,Females,Ireland,2024,51.2
Non-EU27 countries (from 2020) nor reporting country,Females,Iceland,2022,52.2
Non-EU27 countries (from 2020) nor reporting country,Females,Iceland,2024,52.0
Non-EU27 countries (from 2020) nor reporting country,Females,Italy,2022,50.3
Non-EU27 countries (from 2020) nor reporting country,Females,Italy,2024,49.8
Non-EU27 countries (from 2020) nor reporting country,Females,Liechtenstein,2022,50.1
Non-EU27 countries (from 2020) nor reporting country,Females,Liechtenstein,2024,50.2
Non-EU27 countries (from 2020) nor reporting country,Females,Lithuania,2022,53.1
Non-EU27 countries (from 2020) nor reporting country,Females,Luxembourg,2022,50.7
Non-EU27 countries (from 2020) nor reporting country,Females,Luxembourg,2024,50.9
Non-EU27 countries (from 2020) nor reporting country,Females,Latvia,2022,59.6
Non-EU27 countries (from 2020) nor reporting country,Females,Latvia,2024,59.1
Non-EU27 countries (from 2020) nor reporting country,Females,Malta,2022,41.3
Non-EU27 countries (from 2020) nor reporting country,Females,Malta,2024,39.1
Non-EU27 countries (from 2020) nor reporting country,Females,Netherlands,2022,51.5
Non-EU27 countries (from 2020) nor reporting country,Females,Netherlands,2024,51.6
Non-EU27 countries (from 2020) nor reporting country,Females,Norway,2022,51.7
Non-EU27 countries (from 2020) nor reporting country,Females,Norway,2023,52.3
Non-EU27 countries (from 2020) nor reporting country,Females,Norway,2024,52.3
Non-EU27 countries (from 2020) nor reporting country,Females,Poland,2022,52.5
Non-EU27 countries (from 2020) nor reporting country,Females,Poland,2023,52.5
Non-EU27 countries (from 2020) nor reporting country,Females,Poland,2024,52.6
Non-EU27 countries (from 2020) nor reporting country,Females,Portugal,2022,51.5
Non-EU27 countries (from 2020) nor reporting country,Females,Portugal,2023,50.9
Non-EU27 countries (from 2020) nor reporting country,Females,Portugal,2024,49.3
Non-EU27 countries (from 2020) nor reporting country,Females,Romania,2022,48.7
Non-EU27 countries (from 2020) nor reporting country,Females,Romania,2024,42.4
Non-EU27 countries (from 2020) nor reporting country,Females,Sweden,2022,48.8
Non-EU27 countries (from 2020) nor reporting country,Females,Sweden,2024,49.1
Non-EU27 countries (from 2020) nor reporting country,Females,Slovenia,2022,39.6
Non-EU27 countries (from 2020) nor reporting country,Females,Slovenia,2024,40.1
Non-EU27 countries (from 2020) nor reporting country,Females,Slovakia,2022,47.0
Non-EU27 countries (from 2020) nor reporting country,Females,Slovakia,2024,46.8
Non-EU27 countries (from 2020) nor reporting country,Females,Türkiye,2024,53.1
Non-EU27 countries (from 2020) nor reporting country,Males,Austria,2022,50.8
Non-EU27 countries (from 2020) nor reporting country,Males,Austria,2024,50.2
Non-EU27 countries (from 2020) nor reporting country,Males,Belgium,2022,49.8
Non-EU27 countries (from 2020) nor reporting country,Males,Belgium,2024,49.8
Non-EU27 countries (from 2020) nor reporting country,Males,Bulgaria,2022,49.5
Non-EU27 countries (from 2020) nor reporting country,Males,Bulgaria,2024,49.8
Non-EU27 countries (from 2020) nor reporting country,Males,Switzerland,2022,47.2
Non-EU27 countries (from 2020) nor reporting country,Males,Switzerland,2024,47.0
Non-EU27 countries (from 2020) nor reporting country,Males,Cyprus,2022,42.9
Non-EU27 countries (from 2020) nor reporting country,Males,Cyprus,2024,46.2
Non-EU27 countries (from 2020) nor reporting country,Males,Czechia,2022,56.3
Non-EU27 countries (from 2020) nor reporting country,Males,Czechia,2024,47.8
Non-EU27 countries (from 2020) nor reporting country,Males,Germany,2022,50.6
Non-EU27 countries (from 2020) nor reporting country,Males,Germany,2024,50.6
Non-EU27 countries (from 2020) nor reporting country,Males,Denmark,2022,48.1
Non-EU27 countries (from 2020) nor reporting country,Males,Denmark,2024,47.6
Non-EU27 countries (from 2020) nor reporting country,Males,Estonia,2022,43.0
Non-EU27 countries (from 2020) nor reporting country,Males,Estonia,2024,42.7
Non-EU27 countries (from 2020) nor reporting country,Males,Greece,2022,50.3
Non-EU27 countries (from 2020) nor reporting country,Males,Greece,2023,50.0
Non-EU27 countries (from 2020) nor reporting country,Males,Greece,2024,50.3
Non-EU27 countries (from 2020) nor reporting country,Males,Spain,2022,47.3
Non-EU27 countries (from 2020) nor reporting country,Males,Spain,2024,48.3
Non-EU27 countries (from 2020) nor reporting country,Males,Finland,2022,50.9
Non-EU27 countries (from 2020) nor reporting country,Males,Finland,2023,51.3
Non-EU27 countries (from 2020) nor reporting country,Males,Finland,2024,51.0
Non-EU27 countries (from 2020) nor reporting country,Males,France,2021,48.5
Non-EU27 countries (from 2020) nor reporting country,Males,France,2022,48.7
Non-EU27 countries (from 2020) nor reporting country,Males,France,2024,48.6
Non-EU27 countries (from 2020) nor reporting country,Males,Croatia,2022,46.3
Non-EU27 countries (from 2020) nor reporting country,Males,Croatia,2024,49.1
Non-EU27 countries (from 2020) nor reporting country,Males,Hungary,2022,54.1
Non-EU27 countries (from 2020) nor reporting country,Males,Hungary,2024,54.3
Non-EU27 countries (from 2020) nor reporting country,Males,Ireland,2022,50.0
Non-EU27 countries (from 2020) nor reporting country,Males,Ireland,2024,48.8
Non-EU27 countries (from 2020) nor reporting country,Males,Iceland,2022,47.8
Non-EU27 countries (from 2020) nor reporting country,Males,Iceland,2024,48.0
Non-EU27 countries (from 2020) nor reporting country,Males,Italy,2022,49.7
Non-EU27 countries (from 2020) nor reporting country,Males,Italy,2024,50.2
Non-EU27 countries (from 2020) nor reporting country,Males,Liechtenstein,2022,49.9
Non-EU27 countries (from 2020) nor reporting country,Males,Liechtenstein,2024,49.8
Non-EU27 countries (from 2020) nor reporting country,Males,Lithuania,2022,46.9
Non-EU27 countries (from 2020) nor reporting country,Males,Luxembourg,2022,49.3
Non-EU27 countries (from 2020) nor reporting country,Males,Luxembourg,2024,49.1
Non-EU27 countries (from 2020) nor reporting country,Males,Latvia,2022,40.4
Non-EU27 countries (from 2020) nor reporting country,Males,Latvia,2024,40.9
Non-EU27 countries (from 2020) nor reporting country,Males,Malta,2022,58.7
Non-EU27 countries (from 2020) nor reporting country,Males,Malta,2024,60.9
Non-EU27 countries (from 2020) nor reporting country,Males,Netherlands,2022,48.5
Non-EU27 countries (from 2020) nor reporting country,Males,Netherlands,2024,48.4
Non-EU27 countries (from 2020) nor reporting country,Males,Norway,2022,48.3
Non-EU27 countries (from 2020) nor reporting country,Males,Norway,2023,47.7
Non-EU27 countries (from 2020) nor reporting country,Males,Norway,2024,47.7
Non-EU27 countries (from 2020) nor reporting country,Males,Poland,2022,47.5
Non-EU27 countries (from 2020) nor reporting country,Males,Poland,2023,47.5
Non-EU27 countries (from 2020) nor reporting country,Males,Poland,2024,47.4
Non-EU27 countries (from 2020) nor reporting country,Males,Portugal,2022,48.5
Non-EU27 countries (from 2020) nor reporting country,Males,Portugal,2023,49.1
Non-EU27 countries (from 2020) nor reporting country,Males,Portugal,2024,50.7
Non-EU27 countries (from 2020) nor reporting country,Males,Romania,2022,51.3
Non-EU27 countries (from 2020) nor reporting country,Males,Romania,2024,57.6
Non-EU27 countries (from 2020) nor reporting country,Males,Sweden,2022,51.2
Non-EU27 countries (from 2020) nor reporting country,Males,Sweden,2024,50.9
Non-EU27 countries (from 2020) nor reporting country,Males,Slovenia,2022,60.4
Non-EU27 countries (from 2020) nor reporting country,Males,Slovenia,2024,59.9
Non-EU27 countries (from 2020) nor reporting country,Males,Slovakia,2022,53.0
Non-EU27 countries (from 2020) nor reporting country,Males,Slovakia,2024,53.2
Non-EU27 countries (from 2020) nor reporting country,Males,Türkiye,2024,46.9
Non-EU27 countries (from 2020) nor reporting country,Total,Austria,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Austria,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Belgium,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Belgium,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Bulgaria,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Bulgaria,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Switzerland,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Switzerland,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Cyprus,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Cyprus,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Czechia,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Czechia,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Germany,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Germany,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Denmark,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Denmark,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Estonia,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Estonia,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Greece,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Greece,2023,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Greece,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Spain,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Spain,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Finland,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Finland,2023,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Finland,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,France,2021,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,France,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,France,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Croatia,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Croatia,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Hungary,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Hungary,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Ireland,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Ireland,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Iceland,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Iceland,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Italy,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Italy,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Liechtenstein,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Liechtenstein,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Lithuania,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Luxembourg,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Luxembourg,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Latvia,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Latvia,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Malta,2022,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Malta,2024,100.0
Non-EU27 countries (from 2020) nor reporting country,Total,Netherlands,2022,100.0
